threshold,precision,recall,f1,TP,FP,FN,TN
0.975,0.5752,0.4811,0.524,153,113,165,63621
0.95,0.4331,0.5597,0.4883,178,233,140,63501
0.925,0.3689,0.6195,0.4624,197,337,121,63397
0.9,0.3302,0.6541,0.4388,208,422,110,63312
0.875,0.2962,0.6698,0.4108,213,506,105,63228
0.85,0.2804,0.6887,0.3985,219,562,99,63172
0.8,0.2449,0.717,0.3651,228,703,90,63031
0.75,0.2243,0.7327,0.3434,233,806,85,62928
0.7,0.2047,0.7453,0.3211,237,921,81,62813
0.6,0.1771,0.7767,0.2884,247,1148,71,62586
0.5,0.1599,0.7987,0.2665,254,1334,64,62400
